Rk_x,Player,Age_x,Team,Pos,G_x,GS_x,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Player-additional_x,Rk_y,Age_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards_y,Player-additional_y,Rk,Tm,Salary,VORP_norm,BPM_norm,TS%_norm,WS_norm,PTS_norm,MPG_norm,AST_norm,TRB_norm,PER_norm,STL_norm,BLK_norm,Score,ValuePerMillion
256.0,Nique Clifford,23.0,SAC,SG,75.0,28.0,25.1,3.3,7.9,0.418,1.0,3.1,0.333,2.3,4.9,0.471,0.482,0.9,1.3,0.722,0.9,2.9,3.8,2.4,0.9,0.3,1.5,2.1,8.6,,cliffni01,99.0,23.0,SG,75.0,28.0,1882.0,9.0,0.505,0.388,0.163,3.8,13.3,8.4,13.0,1.7,1.2,15.4,17.0,-1.2,0.6,-0.6,-0.014,-3.7,-1.2,-4.9,-1.4,,cliffni01,314,SAC,3108120.0,0.017543859649122823,0.19354838709677416,0.127962085308057,0.05376344086021507,0.22605363984674326,0.5925925925925927,0.33333333333333326,0.48275862068965514,0.108974358974359,0.38888888888888884,0.23076923076923075,0.15130216537460417,0.1334213035399545
257.0,Cason Wallace,22.0,OKC,SG,77.0,58.0,26.6,3.3,7.6,0.432,1.3,3.7,0.351,2.0,3.8,0.51,0.518,0.7,0.9,0.809,0.8,2.3,3.1,2.6,1.9,0.4,0.9,2.0,8.6,DPOY-7DEF2,wallaca01,71.0,22.0,SG,77.0,58.0,2046.0,12.1,0.538,0.493,0.116,3.5,8.9,6.3,12.7,3.5,1.3,10.6,14.5,1.0,4.2,5.2,0.122,-2.1,3.3,1.2,1.7,DPOY-7DEF2,wallaca01,240,OKC,5820240.0,0.5614035087719298,0.685483870967742,0.28436018957346,0.6774193548387099,0.22605363984674326,0.654320987654321,0.37037037037037035,0.3620689655172414,0.3076923076923077,0.9444444444444444,0.3076923076923077,0.4844314381156912,0.2750354991714942
258.0,Jaden Ivey,23.0,2TM,SG,37.0,5.0,18.1,3.1,6.9,0.445,1.4,3.6,0.373,1.7,3.3,0.525,0.543,1.0,1.3,0.809,0.6,1.8,2.5,1.8,0.6,0.4,1.1,1.4,8.5,,iveyja01,350.0,23.0,SG,37.0,5.0,670.0,13.0,0.571,0.523,0.184,4.0,10.9,7.5,14.0,1.6,2.0,12.9,19.7,0.5,0.9,1.3,0.096,-0.2,0.2,0.0,0.3,,iveyja01,171,CHI,10107163.0,0.3157894736842105,0.5887096774193549,0.4407582938388625,0.2580645161290323,0.2222222222222222,0.3045267489711935,0.22222222222222224,0.25862068965517243,0.3653846153846154,0.2222222222222222,0.3076923076923077,0.32704339395699605,0.1413786613849241
259.0,Vít Krejčí,25.0,2TM,PG,65.0,8.0,21.4,3.0,6.6,0.448,2.0,5.0,0.39,1.0,1.6,0.634,0.597,0.6,0.8,0.745,0.5,1.8,2.3,1.5,0.7,0.3,0.6,2.1,8.5,,krejcvi01,191.0,25.0,PG,65.0,8.0,1392.0,11.1,0.609,0.765,0.119,2.4,9.3,5.8,9.6,1.6,1.2,8.3,14.6,1.5,1.3,2.9,0.099,-1.5,0.0,-1.6,0.1,,krejcvi01,353,POR,2349578.0,0.18085106382978725,0.3,0.7596566523605148,0.26785714285714285,0.18032786885245902,0.4050179211469534,0.04545454545454544,0.17808219178082188,0.18930041152263372,0.1666666666666666,0.37499999999999994,0.24700340641474458,0.2891513379193599
260.0,Simone Fontecchio,30.0,MIA,SF,70.0,9.0,16.8,2.8,6.7,0.412,1.8,4.7,0.375,1.0,2.0,0.497,0.542,1.2,1.5,0.843,0.8,2.2,3.0,1.4,0.5,0.1,0.7,1.5,8.5,,fontesi01,242.0,30.0,SF,70.0,9.0,1173.0,13.8,0.579,0.696,0.217,4.9,13.8,9.3,11.6,1.5,0.7,8.7,19.6,1.4,1.2,2.6,0.106,0.7,-0.2,0.5,0.7,,fontesi01,197,MIA,8307692.0,0.29230769230769227,0.4,0.5677419354838706,0.25000000000000006,0.1854838709677419,0.25190839694656497,0.13333333333333333,0.18888888888888888,0.2806122448979592,0.16666666666666666,0.0,0.2692815409458918,0.12718866976670562
261.0,Bones Hyland,25.0,MIN,PG,71.0,3.0,16.6,3.0,6.6,0.453,1.6,4.2,0.388,1.4,2.4,0.568,0.577,0.9,1.2,0.78,0.3,1.5,1.8,2.6,0.6,0.2,1.0,1.7,8.5,,hylanbo01,239.0,25.0,PG,71.0,3.0,1177.0,15.1,0.599,0.639,0.175,2.2,9.5,5.9,22.7,1.8,1.3,12.2,20.6,1.8,1.3,3.1,0.126,1.2,0.5,1.7,1.1,,hylanbo01,379,MIN,2296274.0,0.2872340425531915,0.47368421052631576,0.7167381974248925,0.27976190476190477,0.18032786885245902,0.23297491039426532,0.17045454545454544,0.1095890410958904,0.35390946502057613,0.11111111111111106,0.25,0.2988861624034067,0.3595459467272386
262.0,Brook Lopez,37.0,LAC,C,75.0,40.0,21.8,3.1,7.2,0.428,1.5,4.2,0.36,1.6,3.0,0.524,0.533,0.7,1.0,0.757,0.6,3.0,3.6,1.3,0.6,1.2,0.8,2.1,8.5,,lopezbr01,141.0,37.0,C,75.0,40.0,1635.0,12.3,0.552,0.585,0.137,3.4,15.7,9.7,8.5,1.4,5.0,9.6,17.2,0.5,1.8,2.3,0.068,-1.3,0.4,-0.9,0.5,,lopezbr01,189,LAC,8750000.0,0.12121212121212123,0.2561576354679803,0.1406250000000001,0.136986301369863,0.21311475409836067,0.4693877551020409,0.09615384615384617,0.07920792079207922,0.09502262443438922,0.3846153846153847,0.36666666666666664,0.19507927462184932,0.08993750343231029
263.0,Collin Murray-Boyles,20.0,TOR,PF,57.0,22.0,21.9,3.5,6.0,0.579,0.3,0.9,0.34,3.2,5.1,0.62,0.604,1.2,1.9,0.657,2.3,2.7,5.0,1.9,0.9,0.9,1.0,2.6,8.5,,murraco01,223.0,20.0,PF,57.0,22.0,1246.0,16.4,0.621,0.146,0.316,12.0,14.0,13.0,11.7,2.0,4.1,13.2,15.5,2.1,1.9,4.0,0.154,-0.5,1.5,1.0,1.0,,murraco01,228,TOR,6332520.0,0.3725490196078431,0.4370860927152318,0.6926229508196723,0.44565217391304346,0.25390625,0.47410358565737043,0.2727272727272727,0.32967032967032966,0.3955223880597014,0.4666666666666666,0.4736842105263158,0.3920707343193919,0.21242406874496014
264.0,Luke Kennard,29.0,2TM,SG,78.0,6.0,21.6,3.0,5.7,0.533,1.5,3.1,0.478,1.5,2.5,0.601,0.665,0.8,0.9,0.913,0.4,1.9,2.3,2.2,0.7,0.1,0.8,1.3,8.4,,kennalu01,139.0,29.0,SG,78.0,6.0,1681.0,13.5,0.689,0.553,0.156,2.1,10.0,6.1,13.8,1.6,0.4,11.2,13.5,3.2,1.4,4.5,0.13,0.1,0.1,0.1,0.9,,kennalu01,161,LAL,11000000.0,0.42105263157894735,0.5967741935483871,1.0,0.6021505376344086,0.21839080459770113,0.44855967078189307,0.2962962962962963,0.22413793103448273,0.3974358974358975,0.27777777777777773,0.07692307692307693,0.4107381442264581,0.1712911105359168
265.0,Kentavious Caldwell-Pope,32.0,MEM,SG,51.0,14.0,21.3,2.9,7.2,0.41,1.1,3.4,0.316,1.9,3.8,0.495,0.485,1.4,1.6,0.913,0.4,2.1,2.5,2.7,0.8,0.2,1.2,1.1,8.4,,caldwke01,263.0,32.0,SG,51.0,14.0,1088.0,11.0,0.533,0.475,0.219,2.0,10.6,6.2,17.7,1.9,0.7,13.2,17.7,0.2,0.5,0.7,0.032,-2.3,-0.2,-2.5,-0.1,,caldwke01,85,MEM,21621500.0,0.24561403508771928,0.38709677419354843,0.260663507109005,0.19354838709677422,0.21839080459770113,0.4362139917695474,0.3888888888888889,0.25862068965517243,0.23717948717948723,0.33333333333333337,0.15384615384615385,0.2609509679952863,0.08489832145095273
